Province/State,Date,Cumulative Cases,Cumulative Tests,Daily Cases,Daily Tests,7 day daily case moving average,14 day daily case moving average,7 day daily test moving average,14 day daily test moving average
NSW,2020-03-09,48,8371,10,363,0,0,0,0
NSW,2020-03-10,55,10165,7,1794,0,0,0,0
NSW,2020-03-11,65,10221,10,56,0,0,0,0
NSW,2020-03-12,92,14856,27,4635,0,0,0,0
NSW,2020-03-13,119,16685,27,1829,0,0,0,0
NSW,2020-03-14,139,20496,20,3811,0,0,0,0
NSW,2020-03-15,161,22567,22,2071,18,0,2080,0
NSW,2020-03-16,198,26964,37,4397,21,0,2656,0
NSW,2020-03-17,237,30244,39,3280,26,0,2868,0
VIC,2020-03-17,94,2500,23,2500,0,0,0,0
NSW,2020-03-18,294,35800,57,5556,33,0,3654,0
VIC,2020-03-18,121,3500,27,1000,0,0,0,0
NSW,2020-03-19,334,39089,40,3289,35,0,3462,0
VIC,2020-03-19,121,5480,0,1980,0,0,0,0
NSW,2020-03-20,380,40651,46,1562,37,0,3424,0
QLD,2020-03-20,184,1322,40,1322,0,0,0,0
VIC,2020-03-20,121,7637,0,2157,0,0,0,0
NSW,2020-03-21,463,46892,83,6241,46,0,3771,0
QLD,2020-03-21,221,2803,37,1481,0,0,0,0
VIC,2020-03-21,229,8800,108,1163,0,0,0,0
NSW,2020-03-22,696,52663,233,5771,76,47,4299,3190
QLD,2020-03-22,259,4245,38,1442,0,0,0,0
VIC,2020-03-22,355,11200,126,2400,0,0,0,0
ACT,2020-03-23,32,194,13,194,0,0,0,0
NSW,2020-03-23,779,56941,83,4278,83,52,4282,3469
QLD,2020-03-23,319,5330,60,1085,0,0,0,0
VIC,2020-03-23,410,12000,55,800,48,0,1714,0
ACT,2020-03-24,39,405,7,211,0,0,0,0
NSW,2020-03-24,928,61848,149,4907,99,62,4515,3692
QLD,2020-03-24,397,6652,78,1322,0,0,0,0
VIC,2020-03-24,466,13300,56,1300,53,0,1543,0
ACT,2020-03-25,48,594,9,189,0,0,0,0
NSW,2020-03-25,1139,68177,211,6329,121,77,4625,4140
QLD,2020-03-25,443,8094,46,1442,0,0,0,0
TAS,2020-03-25,36,133,8,133,0,0,0,0
VIC,2020-03-25,521,13800,55,500,57,0,1471,0
ACT,2020-03-26,62,858,14,264,0,0,0,0
NSW,2020-03-26,1329,74006,190,5829,142,88,4988,4225
QLD,2020-03-26,493,12761,50,4667,50,0,1823,0
SA,2020-03-26,235,1407,65,1407,0,0,0,0
TAS,2020-03-26,47,669,11,536,0,0,0,0
VIC,2020-03-26,575,15200,54,1400,65,0,1389,0
ACT,2020-03-27,71,1346,9,488,0,0,0,0
NSW,2020-03-27,1515,77689,186,3683,162,100,5291,4357
QLD,2020-03-27,555,14203,62,1442,53,0,1840,0
SA,2020-03-27,257,4231,22,2824,0,0,0,0
TAS,2020-03-27,55,1205,8,536,0,0,0,0
VIC,2020-03-27,629,19300,54,4100,73,0,1666,0
WA,2020-03-27,231,572,0,572,0,0,0,0
ACT,2020-03-28,80,1645,9,299,0,0,0,0
NSW,2020-03-28,1727,86524,212,8835,181,113,5662,4716
QLD,2020-03-28,625,16964,70,2761,58,0,2023,0
SA,2020-03-28,287,5468,30,1237,0,0,0,0
TAS,2020-03-28,70,1741,15,536,0,0,0,0
VIC,2020-03-28,740,23300,111,4000,73,0,2071,0
WA,2020-03-28,278,1452,47,880,0,0,0,0
ACT,2020-03-29,86,1893,6,248,10,0,270,0
NSW,2020-03-29,1901,93099,174,6575,172,124,5777,5038
QLD,2020-03-29,656,18435,31,1471,57,0,2027,0
SA,2020-03-29,299,6413,12,945,0,0,0,0
TAS,2020-03-29,74,2277,4,536,0,0,0,0
VIC,2020-03-29,824,27300,84,4000,67,0,2300,0
WA,2020-03-29,311,2129,33,677,0,0,0,0
ACT,2020-03-30,87,2350,1,457,8,0,308,0
NSW,2020-03-30,2142,96446,241,3347,195,139,5644,4963
NT,2020-03-30,15,221,0,221,0,0,0,0
QLD,2020-03-30,689,23459,33,5024,53,0,2590,0
SA,2020-03-30,305,6933,6,520,0,0,0,0
TAS,2020-03-30,77,2813,3,536,0,0,0,0
VIC,2020-03-30,876,30300,52,3000,67,58,2614,2164
WA,2020-03-30,355,2669,44,540,0,0,0,0
ACT,2020-03-31,89,2554,2,204,7,0,307,0
NSW,2020-03-31,2292,99951,150,3505,195,147,5443,4979
NT,2020-03-31,17,1321,2,1100,0,0,0,0
QLD,2020-03-31,743,24930,54,1471,49,0,2611,0
SA,2020-03-31,337,8075,32,1142,0,0,0,0
TAS,2020-03-31,80,3349,3,536,7,0,478,0
VIC,2020-03-31,972,33300,96,3000,72,63,2857,2200
WA,2020-03-31,364,3185,9,516,0,0,0,0
ACT,2020-04-01,93,2969,4,415,6,0,339,0
NSW,2020-04-01,2442,105543,150,5592,186,153,5338,4982
NT,2020-04-01,19,1352,2,31,0,0,0,0
QLD,2020-04-01,781,26401,38,1471,48,0,2615,0
SA,2020-04-01,367,9559,30,1484,28,0,1366,0
TAS,2020-04-01,83,3885,3,536,7,0,536,0
VIC,2020-04-01,1023,35300,51,2000,72,64,3071,2271
WA,2020-04-01,392,4003,28,818,0,0,0,0
ACT,2020-04-02,96,3129,3,160,5,0,324,0
NSW,2020-04-02,2558,110537,116,4994,176,159,5219,5103
NT,2020-04-02,21,1494,2,142,0,0,0,0
QLD,2020-04-02,835,27333,54,932,49,49,2082,1952
SA,2020-04-02,396,10607,29,1048,23,0,1314,0
TAS,2020-04-02,86,4421,3,536,6,0,536,0
VIC,2020-04-02,1091,37300,68,2000,74,69,3157,2273
WA,2020-04-02,400,4671,8,668,24,0,667,0
ACT,2020-04-03,100,3333,4,204,4,0,284,0
NSW,2020-04-03,2649,114455,91,3918,162,162,5252,5272
NT,2020-04-03,22,1687,1,193,0,0,0,0
QLD,2020-04-03,873,29989,38,2656,45,49,2255,2048
SA,2020-04-03,425,11653,29,1046,24,0,1060,0
TAS,2020-04-03,88,4957,2,536,5,0,536,0
VIC,2020-04-03,1140,39300,49,2000,73,73,2857,2262
WA,2020-04-03,428,5347,28,676,28,0,682,0
ACT,2020-04-04,102,3369,2,36,3,0,246,0
NSW,2020-04-04,2753,117633,104,3178,147,164,4444,5053
NT,2020-04-04,26,1863,4,176,0,0,0,0
QLD,2020-04-04,900,31548,27,1559,39,48,2083,2053
SA,2020-04-04,436,12768,11,1115,21,0,1043,0
TAS,2020-04-04,94,5493,6,536,3,0,536,0
VIC,2020-04-04,1170,42300,30,3000,61,67,2714,2393
WA,2020-04-04,464,5732,36,385,27,0,611,0
ACT,2020-04-05,105,3551,3,182,3,6,237,254
NSW,2020-04-05,2840,121433,87,3800,134,153,4048,4912
NT,2020-04-05,27,1974,1,111,2,0,282,0
QLD,2020-04-05,907,33343,7,1795,36,46,2130,2078
SA,2020-04-05,441,13594,5,826,20,0,1026,0
TAS,2020-04-05,96,6029,2,536,3,0,536,0
VIC,2020-04-05,1190,44300,20,2000,52,60,2429,2364
WA,2020-04-05,481,6678,17,946,24,0,650,0
ACT,2020-04-06,105,3622,0,71,3,5,182,245
NSW,2020-04-06,2897,124038,57,2605,108,151,3942,4793
NT,2020-04-06,27,2026,0,52,2,0,258,0
QLD,2020-04-06,921,34038,14,695,33,43,1511,2051
SA,2020-04-06,445,14034,4,440,20,0,1014,0
TAS,2020-04-06,100,6156,4,127,3,0,478,0
VIC,2020-04-06,1213,45300,23,1000,48,57,2143,2379
WA,2020-04-06,488,7207,7,529,19,0,648,0
ACT,2020-04-07,105,3790,0,168,2,5,177,242
NSW,2020-04-07,2946,126146,49,2108,93,144,3742,4593
NT,2020-04-07,27,2220,0,194,1,0,128,0
QLD,2020-04-07,934,37382,13,3344,27,38,1779,2195
SA,2020-04-07,450,14562,5,528,16,0,927,0
TAS,2020-04-07,103,6376,3,220,3,5,432,455
VIC,2020-04-07,1246,46300,33,1000,39,56,1857,2357
WA,2020-04-07,505,7682,17,475,20,0,642,0
ACT,2020-04-08,108,3972,3,182,2,4,143,241
NSW,2020-04-08,2994,129091,48,2945,79,132,3364,4351
NT,2020-04-08,27,2283,0,63,1,0,133,0
QLD,2020-04-08,943,39100,9,1718,23,36,1814,2215
SA,2020-04-08,454,15324,4,762,12,20,824,1095
TAS,2020-04-08,112,6479,9,103,4,5,371,453
VIC,2020-04-08,1267,48300,21,2000,35,53,1857,2464
WA,2020-04-08,526,8577,21,895,19,0,653,0
ACT,2020-04-09,109,4095,1,123,2,3,138,231
NSW,2020-04-09,3033,132997,39,3906,68,122,3209,4214
NT,2020-04-09,27,2395,0,112,1,0,129,0
QLD,2020-04-09,953,42314,10,3214,17,33,2140,2111
SA,2020-04-09,459,16017,5,693,9,16,773,1044
TAS,2020-04-09,125,6581,13,102,6,6,309,422
VIC,2020-04-09,1283,50300,16,2000,27,51,1857,2507
WA,2020-04-09,540,9193,14,616,20,22,646,657
ACT,2020-04-10,111,4310,2,215,2,3,140,212
NSW,2020-04-10,3082,137441,49,4444,62,112,3284,4268
NT,2020-04-10,27,2464,0,69,1,0,111,0
QLD,2020-04-10,965,44742,12,2428,13,29,2108,2181
SA,2020-04-10,467,16447,8,430,6,15,685,873
TAS,2020-04-10,136,6775,11,194,7,6,260,398
VIC,2020-04-10,1296,52300,13,2000,22,48,1857,2357
WA,2020-04-10,551,9625,11,432,18,23,611,647
ACT,2020-04-11,111,4396,0,86,1,2,147,196
NSW,2020-04-11,3117,138090,35,649,52,99,2922,3683
NT,2020-04-11,27,2521,0,57,0,0,94,0
QLD,2020-04-11,974,47047,9,2305,11,25,2214,2149
SA,2020-04-11,468,16890,1,443,5,13,589,816
TAS,2020-04-11,147,7311,11,536,8,6,260,398
VIC,2020-04-11,1320,57300,24,5000,21,41,2143,2429
WA,2020-04-11,559,10586,8,961,14,20,693,652
ACT,2020-04-12,111,4452,0,56,1,2,129,183
NSW,2020-04-12,3128,141777,11,3687,41,88,2906,3477
NT,2020-04-12,27,2576,0,55,0,1,86,184
QLD,2020-04-12,983,47861,9,814,11,23,2074,2102
SA,2020-04-12,468,17180,0,290,4,12,512,769
TAS,2020-04-12,158,7490,11,179,9,6,209,372
VIC,2020-04-12,1323,58300,3,1000,19,36,2000,2214
WA,2020-04-12,567,11599,8,1013,12,18,703,676
ACT,2020-04-13,111,4484,0,32,1,2,123,152
NSW,2020-04-13,3134,144380,6,2603,34,71,2906,3424
NT,2020-04-13,27,2602,0,26,0,1,82,170
QLD,2020-04-13,987,48718,4,857,9,21,2097,1804
SA,2020-04-13,468,17435,0,255,3,12,486,750
TAS,2020-04-13,169,8095,11,605,10,7,277,377
VIC,2020-04-13,1336,61300,13,3000,18,33,2286,2214
WA,2020-04-13,570,12416,3,817,12,15,744,696
ACT,2020-04-14,112,4584,1,100,1,2,113,145
NSW,2020-04-14,3141,145809,7,1429,28,61,2809,3276
NT,2020-04-14,27,2663,0,61,0,1,63,96
QLD,2020-04-14,998,49561,11,843,9,18,1740,1759
SA,2020-04-14,472,17770,4,335,3,10,458,692
TAS,2020-04-14,190,8222,21,127,12,8,264,348
VIC,2020-04-14,1346,62300,10,1000,14,27,2286,2071
WA,2020-04-14,580,12878,10,462,11,15,742,692
ACT,2020-04-15,112,4783,0,199,1,1,116,130
NSW,2020-04-15,3157,147114,16,1305,23,51,2575,2969
NT,2020-04-15,27,2710,0,47,0,1,61,97
QLD,2020-04-15,999,51028,1,1467,8,16,1704,1759
SA,2020-04-15,472,18276,0,506,3,8,422,623
TAS,2020-04-15,201,8366,11,144,13,8,270,320
VIC,2020-04-15,1354,63300,8,1000,12,24,2143,2000
WA,2020-04-15,589,13094,9,216,9,14,645,649
ACT,2020-04-16,112,4912,0,129,0,1,117,127
NSW,2020-04-16,3168,150314,11,3200,19,44,2474,2841
NT,2020-04-16,27,2742,0,32,0,0,50,89
QLD,2020-04-16,1001,53275,2,2247,7,12,1566,1853
SA,2020-04-16,472,19120,0,844,2,5,443,608
TAS,2020-04-16,205,8530,4,164,11,8,278,294
VIC,2020-04-16,1362,64300,8,1000,11,19,2000,1929
WA,2020-04-16,594,14104,5,1010,8,14,702,674
ACT,2020-04-17,112,5047,0,135,0,1,105,122
NSW,2020-04-17,3197,155302,29,4988,16,39,2552,2918
NT,2020-04-17,27,2827,0,85,0,0,52,81
QLD,2020-04-17,1007,55775,6,2500,6,10,1576,1842
SA,2020-04-17,474,20049,2,929,1,4,515,600
TAS,2020-04-17,216,8818,11,288,11,9,292,276
VIC,2020-04-17,1365,66300,3,2000,10,16,2000,1929
WA,2020-04-17,603,14706,9,602,7,12,726,668
ACT,2020-04-18,112,5149,0,102,0,1,108,127
NSW,2020-04-18,3207,160454,10,5152,13,32,3195,3059
NT,2020-04-18,27,2846,0,19,0,0,46,70
QLD,2020-04-18,1015,58311,8,2536,6,8,1609,1912
SA,2020-04-18,474,21992,0,1943,1,3,729,659
TAS,2020-04-18,224,9096,8,278,11,9,255,257
VIC,2020-04-18,1382,70300,17,4000,9,15,1857,2000
WA,2020-04-18,606,15656,3,950,7,10,724,709
ACT,2020-04-19,112,5186,0,37,0,0,105,117
NSW,2020-04-19,3228,165137,21,4683,14,28,3337,3122
NT,2020-04-19,27,2934,0,88,0,0,51,69
QLD,2020-04-19,1019,60283,4,1972,5,8,1775,1924
SA,2020-04-19,474,24041,0,2049,1,2,980,746
TAS,2020-04-19,231,10040,7,944,10,10,364,286
VIC,2020-04-19,1391,73300,9,3000,10,14,2143,2071
WA,2020-04-19,607,17369,1,1713,6,9,824,764
ACT,2020-04-20,113,5356,1,170,0,1,125,124
NSW,2020-04-20,3234,168626,6,3489,14,24,3464,3185
NT,2020-04-20,27,2952,0,18,0,0,50,66
QLD,2020-04-20,1023,61418,4,1135,5,7,1814,1956
SA,2020-04-20,474,25009,0,968,1,2,1082,784
TAS,2020-04-20,236,10417,5,377,10,10,332,304
VIC,2020-04-20,1392,77300,1,4000,8,13,2286,2286
WA,2020-04-20,608,17950,1,581,5,9,791,767
ACT,2020-04-21,113,5419,0,63,0,1,119,116
NSW,2020-04-21,3240,171128,6,2502,14,21,3617,3213
NT,2020-04-21,27,3031,0,79,0,0,53,58
QLD,2020-04-21,1028,63018,5,1600,4,7,1922,1831
SA,2020-04-21,476,26226,2,1217,1,2,1208,833
TAS,2020-04-21,237,10421,1,4,7,10,314,289
VIC,2020-04-21,1399,79300,7,2000,8,11,2429,2357
WA,2020-04-21,609,18593,1,643,4,7,816,779
ACT,2020-04-22,113,5549,0,130,0,0,109,113
NSW,2020-04-22,3242,175419,2,4291,12,18,4044,3309
NT,2020-04-22,27,3193,0,162,0,0,69,65
QLD,2020-04-22,1030,65716,2,2698,4,6,2098,1901
SA,2020-04-22,477,27969,1,1743,1,2,1385,903
TAS,2020-04-22,241,10968,4,547,6,9,372,321
VIC,2020-04-22,1402,81300,3,2000,7,10,2571,2357
WA,2020-04-22,609,19621,0,1028,3,6,932,789
ACT,2020-04-23,113,5660,0,111,0,0,107,112
NSW,2020-04-23,3247,181064,5,5645,11,15,4393,3433
NT,2020-04-23,27,3266,0,73,0,0,75,62
QLD,2020-04-23,1032,68247,2,2531,4,6,2139,1852
SA,2020-04-23,477,29458,0,1489,1,1,1477,960
TAS,2020-04-23,243,11327,2,359,5,8,400,339
VIC,2020-04-23,1403,84300,1,3000,6,9,2857,2429
WA,2020-04-23,609,20631,0,1010,2,5,932,817
ACT,2020-04-24,114,5733,1,73,0,0,98,102
NSW,2020-04-24,3253,188416,6,7352,8,12,4731,3641
NT,2020-04-24,27,3341,0,75,0,0,73,63
QLD,2020-04-24,1032,70525,0,2278,4,5,2107,1842
SA,2020-04-24,477,31127,0,1669,0,1,1583,1049
TAS,2020-04-24,243,11603,0,276,4,8,398,345
VIC,2020-04-24,1409,87300,6,3000,6,8,3000,2500
WA,2020-04-24,611,21619,2,988,1,4,988,857
ACT,2020-04-25,115,6031,1,298,0,0,126,117
NSW,2020-04-25,3265,193256,12,4840,8,11,4686,3940
NT,2020-04-25,27,3410,0,69,0,0,81,64
QLD,2020-04-25,1032,72605,0,2080,2,4,2042,1826
SA,2020-04-25,477,32267,0,1140,0,1,1468,1098
TAS,2020-04-25,243,12002,0,399,3,7,415,335
VIC,2020-04-25,1412,89300,3,2000,4,7,2714,2286
WA,2020-04-25,612,22680,1,1061,1,4,1003,864
ACT,2020-04-26,115,6179,0,148,0,0,142,123
NSW,2020-04-26,3273,198715,8,5459,6,10,4797,4067
NT,2020-04-26,27,3452,0,42,0,0,74,63
QLD,2020-04-26,1036,73970,4,1365,2,4,1955,1865
SA,2020-04-26,477,33402,0,1135,0,1,1337,1159
TAS,2020-04-26,248,12439,5,437,2,6,343,354
VIC,2020-04-26,1415,92300,3,3000,3,7,2714,2429
WA,2020-04-26,612,23286,0,606,1,3,845,835
ACT,2020-04-27,115,6395,0,216,0,0,148,136
NSW,2020-04-27,3275,203131,2,4416,6,10,4929,4196
NT,2020-04-27,27,3466,0,14,0,0,73,62
QLD,2020-04-27,1039,75075,3,1105,2,4,1951,1883
SA,2020-04-27,477,34014,0,612,0,1,1286,1184
TAS,2020-04-27,250,13104,2,665,2,6,384,358
VIC,2020-04-27,1418,95300,3,3000,4,6,2571,2429
WA,2020-04-27,612,23872,0,586,1,3,846,818
ACT,2020-04-28,115,6641,0,246,0,0,175,147
NSW,2020-04-28,3287,207245,12,4114,7,10,5160,4388
NT,2020-04-28,27,3559,0,93,0,0,75,64
QLD,2020-04-28,1039,77315,0,2240,2,3,2042,1982
SA,2020-04-28,477,34813,0,799,0,0,1227,1217
TAS,2020-04-28,254,13865,4,761,2,5,492,403
VIC,2020-04-28,1423,100349,5,5049,3,6,3007,2718
WA,2020-04-28,613,24186,1,314,1,2,799,808
ACT,2020-04-29,115,6735,0,94,0,0,169,139
NSW,2020-04-29,3294,212659,7,5414,7,10,5320,4682
NT,2020-04-29,27,3642,0,83,0,0,64,67
QLD,2020-04-29,1039,80498,0,3183,1,3,2112,2105
SA,2020-04-29,477,36148,0,1335,0,0,1168,1277
TAS,2020-04-29,255,14618,1,753,2,4,521,447
VIC,2020-04-29,1430,102392,7,2043,4,5,3013,2792
WA,2020-04-29,614,25012,1,826,1,2,770,851
ACT,2020-04-30,115,6967,0,232,0,0,187,147
NSW,2020-04-30,3303,220046,9,7387,8,10,5569,4981
NT,2020-04-30,27,3753,0,111,0,0,70,72
QLD,2020-04-30,1039,83685,0,3187,1,3,2205,2172
SA,2020-04-30,477,38154,0,2006,0,0,1242,1360
TAS,2020-04-30,257,15629,2,1011,2,4,615,507
VIC,2020-04-30,1433,106418,3,4026,4,5,3160,3008
WA,2020-04-30,614,26283,0,1271,1,1,807,870
ACT,2020-05-01,115,7274,0,307,0,0,220,159
NSW,2020-05-01,3308,227084,5,7038,8,8,5524,5127
NT,2020-05-01,27,3864,0,111,0,0,75,74
QLD,2020-05-01,1040,86565,1,2880,1,2,2291,2199
SA,2020-05-01,477,39401,0,1247,0,0,1182,1382
TAS,2020-05-01,257,16694,0,1065,2,3,727,563
VIC,2020-05-01,1440,115007,7,8589,4,5,3958,3479
WA,2020-05-01,614,30273,0,3990,0,1,1236,1112
ACT,2020-05-02,115,7536,0,262,0,0,215,170
NSW,2020-05-02,3311,235894,3,8810,7,7,6091,5389
NT,2020-05-02,29,3942,2,78,0,0,76,78
QLD,2020-05-02,1041,89149,1,2584,1,2,2363,2203
SA,2020-05-02,477,40566,0,1165,0,0,1186,1327
TAS,2020-05-02,257,17549,0,855,2,2,792,604
VIC,2020-05-02,1453,120528,13,5521,6,5,4461,3588
WA,2020-05-02,614,33713,0,3440,0,1,1576,1290
ACT,2020-05-03,115,7695,0,159,0,0,217,179
NSW,2020-05-03,3316,243128,5,7234,6,6,6345,5571
NT,2020-05-03,29,4049,0,107,0,0,85,80
QLD,2020-05-03,1044,91146,3,1997,1,2,2454,2204
SA,2020-05-03,477,41500,0,934,0,0,1157,1247
TAS,2020-05-03,257,18502,0,953,1,2,866,604
VIC,2020-05-03,1475,129733,22,9205,9,6,5348,4031
WA,2020-05-03,614,34648,0,935,0,0,1623,1234
ACT,2020-05-04,116,7921,1,226,0,0,218,183
NSW,2020-05-04,3318,248699,2,5571,6,6,6510,5720
NT,2020-05-04,29,4076,0,27,0,0,87,80
QLD,2020-05-04,1049,92198,5,1052,1,2,2446,2199
SA,2020-05-04,477,42067,0,567,0,0,1150,1218
TAS,2020-05-04,257,19076,0,574,1,2,853,618
VIC,2020-05-04,1492,137961,17,8228,11,7,6094,4333
WA,2020-05-04,614,35510,0,862,0,0,1663,1254
ACT,2020-05-05,116,8122,0,201,0,0,212,193
NSW,2020-05-05,3325,253995,7,5296,5,6,6679,5919
NT,2020-05-05,29,4146,0,70,0,0,84,80
QLD,2020-05-05,1052,93269,3,1071,2,2,2279,2161
SA,2020-05-05,477,42870,0,803,0,0,1151,1189
TAS,2020-05-05,261,19737,4,661,1,2,839,665
VIC,2020-05-05,1509,143277,17,5316,12,8,6133,4570
WA,2020-05-05,614,36634,0,1124,0,0,1778,1289
ACT,2020-05-06,116,8395,0,273,0,0,237,203
NSW,2020-05-06,3327,261251,2,7256,5,6,6942,6131
NT,2020-05-06,29,4224,0,78,0,0,83,74
QLD,2020-05-06,1054,95752,2,2483,2,2,2179,2145
SA,2020-05-06,477,44382,0,1512,0,0,1176,1172
TAS,2020-05-06,262,20196,1,459,1,2,797,659
VIC,2020-05-06,1523,153377,14,10100,13,9,7284,5148
WA,2020-05-06,614,38373,0,1739,0,0,1909,1339
ACT,2020-05-07,116,8771,0,376,0,0,258,222
NSW,2020-05-07,3330,271796,3,10545,4,6,7393,6481
NT,2020-05-07,29,4338,0,114,0,0,84,77
QLD,2020-05-07,1054,100446,0,4694,2,2,2394,2300
SA,2020-05-07,478,45898,1,1516,0,0,1106,1174
TAS,2020-05-07,263,20954,1,758,1,1,761,688
VIC,2020-05-07,1536,167807,13,14430,15,10,8770,5965
WA,2020-05-07,615,39833,1,1460,0,0,1936,1372
ACT,2020-05-08,116,9250,0,479,0,0,282,251
NSW,2020-05-08,3334,281257,4,9461,4,6,7739,6632
NT,2020-05-08,29,4488,0,150,0,0,89,82
QLD,2020-05-08,1054,104743,0,4297,2,2,2597,2444
SA,2020-05-08,478,47408,0,1510,0,0,1144,1163
TAS,2020-05-08,263,21527,0,573,1,1,690,709
VIC,2020-05-08,1537,184565,1,16758,14,9,9937,6948
WA,2020-05-08,615,41306,0,1473,0,0,1576,1406
ACT,2020-05-09,116,9567,0,317,0,0,290,253
NSW,2020-05-09,3336,294949,2,13692,4,5,8436,7264
NT,2020-05-09,29,4610,0,122,0,0,95,86
QLD,2020-05-09,1054,108564,0,3821,2,2,2774,2568
SA,2020-05-09,478,48743,0,1335,0,0,1168,1177
TAS,2020-05-09,263,22068,0,541,1,1,646,719
VIC,2020-05-09,1556,201205,19,16640,15,10,11525,7993
WA,2020-05-09,615,43044,0,1738,0,0,1333,1455
ACT,2020-05-10,116,10030,0,463,0,0,334,275
NSW,2020-05-10,3336,304464,0,9515,3,4,8762,7554
NT,2020-05-10,29,4716,0,106,0,0,95,90
QLD,2020-05-10,1054,111354,0,2790,1,1,2887,2670
SA,2020-05-10,478,49909,0,1166,0,0,1201,1179
TAS,2020-05-10,263,22265,0,197,1,1,538,702
VIC,2020-05-10,1565,218189,9,16984,13,11,12637,8992
WA,2020-05-10,615,44239,0,1195,0,0,1370,1497
ACT,2020-05-11,116,10232,0,202,0,0,330,274
NSW,2020-05-11,3336,309722,0,5258,3,4,8718,7614
NT,2020-05-11,29,4748,0,32,0,0,96,92
QLD,2020-05-11,1060,112557,6,1203,2,2,2908,2677
SA,2020-05-11,478,50878,0,969,0,0,1259,1205
TAS,2020-05-11,263,23071,0,806,1,1,571,712
VIC,2020-05-11,1580,236626,15,18437,13,12,14095,10095
WA,2020-05-11,615,44579,0,340,0,0,1296,1479
ACT,2020-05-12,116,10660,0,428,0,0,363,287
NSW,2020-05-12,3342,315770,6,6048,2,4,8825,7752
NT,2020-05-12,29,4867,0,119,0,0,103,93
QLD,2020-05-12,1060,114440,0,1883,1,2,3024,2652
SA,2020-05-12,478,51767,0,889,0,0,1271,1211
TAS,2020-05-12,263,23259,0,188,0,1,503,671
VIC,2020-05-12,1583,249751,3,13125,11,11,15211,10672
WA,2020-05-12,615,44707,0,128,0,0,1153,1466
ACT,2020-05-13,116,10930,0,270,0,0,362,300
NSW,2020-05-13,3346,323887,4,8117,3,4,8948,7945
NT,2020-05-13,29,4980,0,113,0,0,108,96
QLD,2020-05-13,1060,117588,0,3148,1,2,3119,2649
SA,2020-05-13,478,53456,0,1689,0,0,1296,1236
TAS,2020-05-13,263,23808,0,549,0,1,516,656
VIC,2020-05-13,1590,264555,7,14804,10,11,15883,11583
WA,2020-05-13,615,47115,0,2408,0,0,1249,1579
ACT,2020-05-14,116,11359,0,429,0,0,370,314
NSW,2020-05-14,3354,333634,8,9747,3,4,8834,8113
NT,2020-05-14,29,5201,0,221,0,0,123,103
QLD,2020-05-14,1063,120730,3,3142,1,2,2898,2646
SA,2020-05-14,478,55024,0,1568,0,0,1304,1205
TAS,2020-05-14,263,24377,0,569,0,0,489,625
VIC,2020-05-14,1609,280741,19,16186,10,13,16133,12452
WA,2020-05-14,615,49748,0,2633,0,0,1416,1676
ACT,2020-05-15,116,11786,0,427,0,0,362,322
NSW,2020-05-15,3357,345846,3,12212,3,4,9227,8483
NT,2020-05-15,29,5558,0,357,0,0,153,121
QLD,2020-05-15,1064,124155,1,3425,1,2,2773,2685
SA,2020-05-15,478,56689,0,1665,0,0,1326,1235
TAS,2020-05-15,264,24809,1,432,0,0,469,580
VIC,2020-05-15,1620,300759,11,20018,12,13,16599,13268
WA,2020-05-15,615,51729,0,1981,0,0,1489,1533
ACT,2020-05-16,116,12147,0,361,0,0,369,329
NSW,2020-05-16,3358,355738,1,9892,3,3,8684,8560
NT,2020-05-16,29,5700,0,142,0,0,156,126
QLD,2020-05-16,1064,127402,0,3247,1,2,2691,2732
SA,2020-05-16,478,58459,0,1770,0,0,1388,1278
TAS,2020-05-16,264,25324,0,515,0,0,465,555
VIC,2020-05-16,1627,315270,7,14511,10,12,16295,13910
WA,2020-05-16,616,53127,1,1398,0,0,1440,1387
ACT,2020-05-17,116,12351,0,204,0,0,332,333
NSW,2020-05-17,3359,362842,1,7104,3,3,8340,8551
NT,2020-05-17,29,5812,0,112,0,0,157,126
QLD,2020-05-17,1065,129768,1,2366,2,2,2631,2759
SA,2020-05-17,478,59564,0,1105,0,0,1379,1290
TAS,2020-05-17,264,25606,0,282,0,0,477,507
VIC,2020-05-17,1633,329519,6,14249,10,11,15904,14270
WA,2020-05-17,617,54179,1,1052,0,0,1420,1395
ACT,2020-05-18,116,12583,0,232,0,0,336,333
NSW,2020-05-18,3361,371881,2,9039,4,3,8880,8799
NT,2020-05-18,29,5859,0,47,0,0,159,127
QLD,2020-05-18,1065,131303,0,1535,1,1,2678,2793
SA,2020-05-18,478,60347,0,783,0,0,1353,1306
TAS,2020-05-18,264,25966,0,360,0,0,414,492
VIC,2020-05-18,1642,336590,9,7071,9,11,14281,14188
WA,2020-05-18,620,55020,3,841,1,0,1492,1394
ACT,2020-05-19,116,12741,0,158,0,0,297,330
NSW,2020-05-19,3364,377185,3,5304,3,3,8774,8799
NT,2020-05-19,29,5959,0,100,0,0,156,130
QLD,2020-05-19,1065,134189,0,2886,1,1,2821,2923
SA,2020-05-19,478,61444,0,1097,0,0,1382,1327
TAS,2020-05-19,264,26317,0,351,0,0,437,470
VIC,2020-05-19,1648,349420,6,12830,9,10,14238,14724
WA,2020-05-19,620,56130,0,1110,1,0,1632,1393
ACT,2020-05-20,116,13005,0,264,0,0,296,329
NSW,2020-05-20,3365,384278,1,7093,3,3,8627,8788
